config;cqs;cqs-with-data;stmt-avg
filter\_orderby;2;2;4
filter\_orderby;2;2;6
filter\_orderby;2;2;6
filter\_orderby;2;2;3
filter\_orderby;2;1;6
filter\_orderby;8;6;5
filter\_orderby;2;2;5
filter\_orderby;4;3;4
filter\_orderby;4;2;4
filter\_orderby;2;2;5
filter\_orderby;4;2;5
filter\_orderby;2;1;5
filter\_orderby;2;2;3
filter\_orderby;2;2;4
filter\_orderby;2;1;5
filter\_orderby;2;2;4
filter\_orderby;2;2;5
filter\_orderby;2;2;5
filter\_orderby;2;2;5
filter\_orderby;2;2;2
filter\_orderby;2;2;5
filter\_orderby;2;2;3
filter\_orderby;4;4;5
filter\_orderby;2;2;4
filter\_orderby;2;2;6
filter\_orderby;2;2;5
filter\_orderby;2;2;5
filter\_orderby;2;1;5
filter\_orderby;8;4;13
filter\_orderby;2;2;5
filter\_orderby;4;4;5
filter\_orderby;4;3;4
filter\_orderby;2;2;3
filter\_orderby;11;0;0
filter\_orderby;2;2;5
filter\_orderby;2;2;6
filter\_orderby;2;2;6
filter\_orderby;4;3;4
filter\_orderby;2;1;5
filter\_orderby;2;1;6
filter\_orderby;2;2;5
filter\_orderby;2;2;4
filter\_orderby;2;2;3
filter\_orderby;2;2;6
filter\_orderby;2;2;4
filter\_orderby;2;2;5
filter\_orderby;2;2;5
filter\_orderby;2;2;3
filter\_orderby;2;2;5
filter\_orderby;2;2;4
filter\_orderby;11;0;0
filter\_orderby;2;2;3
filter\_orderby;2;2;4
filter\_orderby;2;1;5
filter\_orderby;2;2;5
filter\_orderby;2;2;6
filter\_orderby;2;1;5
filter\_orderby;4;2;5
filter\_orderby;2;1;4
filter\_orderby;4;4;5
filter\_orderby;4;2;5
filter\_orderby;8;4;7
filter\_orderby;2;1;4
filter\_orderby;2;2;4
filter\_orderby;2;2;5
filter\_orderby;2;2;3
filter\_orderby;2;1;5
filter\_orderby;2;2;4
filter\_orderby;2;2;5
filter\_orderby;2;2;5
filter\_orderby;11;0;0
filter\_orderby;2;1;5
filter\_orderby;2;2;4
filter\_orderby;2;2;5
filter\_orderby;2;2;5
filter\_orderby;2;1;6
filter\_orderby;2;2;5
filter\_orderby;8;4;7
filter\_orderby;2;1;5
filter\_orderby;2;2;5
filter\_orderby;2;1;5
filter\_orderby;2;2;5
filter\_orderby;2;1;4
filter\_orderby;11;7;4
filter\_orderby;4;4;5
filter\_orderby;11;0;0
filter\_orderby;2;2;5
filter\_orderby;2;2;5
filter\_orderby;2;2;3
filter\_orderby;2;2;5
filter\_orderby;2;2;4
filter\_orderby;2;2;5
filter\_orderby;4;2;5
filter\_orderby;2;2;4
filter\_orderby;2;2;3
filter\_orderby;2;2;5
filter\_orderby;2;1;6
filter\_orderby;2;1;6
filter\_orderby;2;2;3
filter\_orderby;2;2;3
union\_filter;8;6;5
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;3;1
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;3;1
union\_filter;11;0;0
union\_filter;11;4;1
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;4;2
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;3;2
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;5;2
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;8;4;13
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;2;7
union\_filter;11;0;0
union\_filter;11;2;8
union\_filter;11;0;0
union\_filter;11;2;6
union\_filter;8;4;7
union\_filter;11;2;8
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;5;9
union\_filter;11;2;6
union\_filter;8;4;7
union\_filter;11;2;7
union\_filter;11;2;7
union\_filter;8;4;0
union\_filter;11;2;7
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
filter\_regex;11;3;4
filter\_regex;11;2;4
filter\_regex;2;2;7
filter\_regex;11;0;0
filter\_regex;4;4;4
filter\_regex;11;2;4
filter\_regex;11;3;4
filter\_regex;11;3;5
filter\_regex;11;2;5
filter\_regex;11;2;4
filter\_regex;2;1;6
filter\_regex;11;0;0
filter\_regex;11;3;5
filter\_regex;11;3;4
filter\_regex;11;2;3
filter\_regex;11;0;0
filter\_regex;11;0;0
filter\_regex;11;2;4
filter\_regex;11;3;4
filter\_regex;11;3;4
filter\_regex;11;3;4
filter\_regex;11;0;0
filter\_regex;11;0;0
filter\_regex;11;0;0
filter\_regex;11;3;4
filter\_regex;11;5;4
filter\_regex;11;3;4
filter\_regex;11;6;4
filter\_regex;11;0;0
filter\_regex;2;2;6
filter\_regex;11;3;4
filter\_regex;11;2;4
filter\_regex;2;2;5
filter\_regex;11;3;4
filter\_regex;11;3;4
filter\_regex;11;5;3
filter\_regex;11;0;0
filter\_regex;11;0;0
filter\_regex;11;0;0
filter\_regex;11;3;4
filter\_regex;11;0;0
filter\_regex;11;0;0
filter\_regex;11;5;4
filter\_regex;11;3;4
filter\_regex;11;3;4
filter\_regex;11;2;4
filter\_regex;2;2;6
filter\_regex;11;0;0
filter\_regex;11;0;0
filter\_regex;11;0;0
filter\_regex;11;3;4
filter\_regex;2;2;5
filter\_regex;11;0;0
